variables,units,values,description
tower_s,,[0.         0.33333333 0.66666667 1.        ],
tower_layer_thickness,m,[[0.03520168 0.02396317 0.01205805 0.07791134]],
tower_height,m,[77.6],
tower_foundation_height,m,[10.],
tower_outer_diameter_in,m,[7.         5.64988497 5.64988494 5.14644186],
tower_outfitting_factor,,[1.07],
monopile_s,,[0.         0.38461538 0.84615385 1.        ],
monopile_layer_thickness,m,[[0.02616563 0.02312609 0.07304472 0.004     ]],
monopile_foundation_height,m,[-55.],
monopile_height,m,[65.],
monopile_outer_diameter_in,m,[8.         5.89061271 5.64988498 5.64988498],
monopile_outfitting_factor,,[1.07],
water_depth,m,[30.],
E_mat,Pa,[[2.1e+11 2.1e+11 2.1e+11]],
G_mat,Pa,[[8.08e+10 8.08e+10 8.08e+10]],
sigma_y_mat,Pa,[4.5e+08],
sigma_ult_mat,Pa,[[6.e+08 6.e+08 6.e+08]],
wohler_exp_mat,,[10.],
wohler_A_mat,,[10.],
rho_mat,kg/m**3,[8500.],
unit_cost_mat,USD/kg,[2.],
tower_layer_materials,Unavailable,[''],
monopile_layer_materials,Unavailable,[''],
material_names,Unavailable,[''],
geometry.foundation_height,m,[-55.],
tower_section_height,m,[25.         30.         10.         25.86666667 25.86666667 25.86666667],
tower_outer_diameter,m,"[8.         5.89061271 5.64988498 5.64988498 5.64988497 5.64988494
 5.14644186]",
tower_wall_thickness,m,[0.02464586 0.04808541 0.03852236 0.02958243 0.01801061 0.0449847 ],
props.d,m,"[8.         7.2968709  6.59374181 5.89061271 5.81037014 5.73012756
 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498
 5.64988497 5.64988496 5.64988495 5.64988494 5.48207058 5.31425622
 5.14644186]",
props.t,m,"[0.02464586 0.02464586 0.02464586 0.04808541 0.04808541 0.04808541
 0.03852236 0.03852236 0.03852236 0.02958243 0.02958243 0.02958243
 0.01801061 0.01801061 0.01801061 0.0449847  0.0449847  0.0449847 ]",
hub_height,m,[87.6],
z_param,m,"[-55.         -30.           0.          10.          35.86666667
  61.73333333  87.6       ]",
z_full,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
rho,kg/m**3,[8500. 8500. 8500. 8500. 8500. 8500.],
unit_cost,USD/kg,[2. 2. 2. 2. 2. 2.],
outfitting_factor,,[1.07 1.07 1.07 1.07 1.07 1.07],
E,Pa,[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11],
G,Pa,[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10],
sigma_y,Pa,[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08],
Az,m**2,"[0.59028906 0.53584771 0.48140635 0.87653906 0.86441724 0.85229541
 0.6790959  0.6790959  0.6790959  0.52232809 0.52232809 0.52232809
 0.31866276 0.31866276 0.31866276 0.78024655 0.75653042 0.73281429]",
Asx,m**2,"[0.35893193 0.32587613 0.29282048 0.53421522 0.52685575 0.5194963
 0.413611   0.413611   0.413611   0.31789785 0.31789785 0.31789785
 0.19376348 0.19376348 0.19376348 0.47549825 0.46109955 0.44670095]",
Asy,m**2,"[0.35893193 0.32587613 0.29282048 0.53421522 0.52685575 0.5194963
 0.413611   0.413611   0.413611   0.31789785 0.31789785 0.31789785
 0.19376348 0.19376348 0.19376348 0.47549825 0.46109955 0.44670095]",
Jz,m**4,"[8.57730954 6.4162604  4.65258831 7.3783175  7.07643647 6.78290425
 5.34599139 5.34599139 5.34599139 4.12491318 4.12491318 4.12491317
 2.52686291 2.5268629  2.52686289 5.94613957 5.42026544 4.92634904]",
Ixx,m**4,"[4.28865477 3.2081302  2.32629415 3.68915875 3.53821823 3.39145212
 2.67299569 2.67299569 2.67299569 2.06245659 2.06245659 2.06245659
 1.26343146 1.26343145 1.26343144 2.97306979 2.71013272 2.46317452]",
Iyy,m**4,"[4.28865477 3.2081302  2.32629415 3.68915875 3.53821823 3.39145212
 2.67299569 2.67299569 2.67299569 2.06245659 2.06245659 2.06245659
 1.26343146 1.26343145 1.26343144 2.97306979 2.71013272 2.46317452]",
d_full,m,"[8.         7.2968709  6.59374181 5.89061271 5.81037014 5.73012756
 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498 5.64988498
 5.64988497 5.64988496 5.64988495 5.64988494 5.48207058 5.31425622
 5.14644186]",
t_full,m,"[0.02464586 0.02464586 0.02464586 0.04808541 0.04808541 0.04808541
 0.03852236 0.03852236 0.03852236 0.02958243 0.02958243 0.02958243
 0.01801061 0.01801061 0.01801061 0.0449847  0.0449847  0.0449847 ]",
cm.rho,kg/m**3,"[8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500. 8500.
 8500. 8500. 8500. 8500. 8500. 8500.]",
cm.outfitting_factor,,"[1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07 1.07
 1.07 1.07 1.07 1.07]",
cm.material_cost_rate,USD/kg,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],
labor_cost_rate,USD/min,[1.66666667],
painting_cost_rate,USD/m**2,[30.],
tm.cylinder_mass,kg,"[44738.99143278 40612.7906502  36486.58986762 79721.22792674
 78618.74788963 77516.26785252 20587.92406352 20587.92406435
 20587.92406518 40960.50450877 40960.50448528 40960.50446179
 24989.25055371 24989.25051272 24989.25047173 61186.24065635
 59326.44303025 57466.64540414]",
tm.cylinder_cost,USD,[3612951.35371953],
tm.cylinder_center_of_mass,m,[14.10839701],
tm.cylinder_section_center_of_mass,m,"[-50.89738076 -42.57055455 -34.2452001  -25.01152433 -15.01168593
  -5.01185214   1.66666667   5.           8.33333333  14.31111111
  22.93333333  31.55555556  40.17777778  48.8         57.42222222
  66.02260458  74.64414216  83.26563542]",
tm.cylinder_I_base,kg*m**2,"[5.20087848e+09 5.20087848e+09 6.75351331e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
transition_piece_height,m,[10.],
transition_piece_mass,kg,[100000.],
transition_piece_cost,USD,[0.],
gravity_foundation_mass,kg,[0.],
rna_mass,kg,[285598.8],
rna_I,kg*m**2,"[1.14930678e+08 2.20354030e+07 1.87597425e+07 0.00000000e+00
 5.03710467e+05 0.00000000e+00]",
rna_cg,m,[-1.13197635  0.          0.50875268],
tower_mass,kg,[375828.59408476],
monopile_mass,kg,[519458.38781253],
tower_center_of_mass,m,[13.64950538],
tower_I_base,kg*m**2,"[5.62337848e+09 5.62337848e+09 6.75351331e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
soil.d0,m,[8.],
suctionpile_depth,m,[25.],
G_soil,Pa,[1.4e+08],
nu_soil,,[0.4],
soil.k_usr,N/m,[-1. -1. -1. -1. -1. -1.],
wind1.Uref,m/s,[11.73732],
wind_reference_height,m,[90.],
wind1.z,m,"[-55.         -46.66666667 -38.33333333 -30.         -20.
 -10.           0.           3.33333333   6.66666667  10.
  18.62222222  27.24444444  35.86666667  44.48888889  53.11111111
  61.73333333  70.35555556  78.97777778  87.6       ]",
z0,m,[0.],
shearExp,,[0.1],
