variables,units,values,description
tower_s,,[0.  0.5 1. ],
tower_layer_thickness,m,[[0.00400001 0.02258778 0.08578215]],
tower_height,m,[87.6],
tower_foundation_height,m,[0.],
tower_outer_diameter_in,m,[6.50125894 6.50155992 6.50283048],
tower_outfitting_factor,,[1.07],
monopile_s,,[],
monopile_layer_thickness,m,[],
monopile_foundation_height,m,[0.],
monopile_height,m,[0.],
monopile_outer_diameter_in,m,[],
monopile_outfitting_factor,,[0.],
water_depth,m,[0.],
E_mat,Pa,[[2.1e+11 2.1e+11 2.1e+11]],
G_mat,Pa,[[8.08e+10 8.08e+10 8.08e+10]],
sigma_y_mat,Pa,[4.5e+08],
sigma_ult_mat,Pa,[[6.e+08 6.e+08 6.e+08]],
wohler_exp_mat,,[10.],
wohler_A_mat,,[10.],
rho_mat,kg/m**3,[8500.],
unit_cost_mat,USD/kg,[2.],
tower_layer_materials,Unavailable,[''],
monopile_layer_materials,Unavailable,[''],
material_names,Unavailable,[''],
geometry.foundation_height,m,[0.],
tower_section_height,m,[43.8 43.8],
tower_outer_diameter,m,[6.50125894 6.50155992 6.50283048],
tower_wall_thickness,m,[0.01329389 0.05418497],
props.d,m,"[6.50125894 6.50135926 6.50145959 6.50155992 6.50198344 6.50240696
 6.50283048]",
props.t,m,[0.01329389 0.01329389 0.01329389 0.05418497 0.05418497 0.05418497],
hub_height,m,[87.6],
z_param,m,[ 0.  43.8 87.6],
z_full,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
rho,kg/m**3,[8500. 8500.],
unit_cost,USD/kg,[2. 2.],
outfitting_factor,,[1.07 1.07],
E,Pa,[2.1e+11 2.1e+11],
G,Pa,[8.08e+10 8.08e+10],
sigma_y,Pa,[4.5e+08 4.5e+08],
Az,m**2,[0.27096547 0.27096966 0.27097385 1.09755396 1.09762605 1.09769814],
Asx,m**2,[0.16467683 0.16467937 0.16468192 0.66895098 0.66899475 0.66903852],
Asy,m**2,[0.16467683 0.16467937 0.16468192 0.66895098 0.66899475 0.66903852],
Jz,m**4,[ 2.8515402   2.85167248  2.85180477 11.4075122  11.40976021 11.41200852],
Ixx,m**4,[1.4257701  1.42583624 1.42590239 5.7037561  5.70488011 5.70600426],
