variables,units,values,description
E_mat,Pa,"[[2.00e+11 2.00e+11 2.00e+11]
 [2.05e+11 2.05e+11 2.05e+11]
 [1.18e+11 1.18e+11 1.18e+11]
 [4.46e+10 1.70e+10 1.67e+10]]",
G_mat,Pa,"[[7.93e+10 7.93e+10 7.93e+10]
 [8.00e+10 8.00e+10 8.00e+10]
 [4.76e+10 4.76e+10 4.76e+10]
 [3.27e+09 3.48e+09 3.50e+09]]",
Xt_mat,Pa,"[[4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]]",
Xy_mat,Pa,[3.45e+08 4.85e+08 2.65e+08 1.89e+07],
wohler_exp_mat,,[10. 10. 10. 10.],
wohler_A_mat,,[10. 10. 10. 10.],
rho_mat,kg/m**3,[7800. 7850. 7200. 1940.],
unit_cost_mat,USD/kg,[0.7 0.9 0.5 1.9],
material_names,Unavailable,"['steel', 'steel_drive', 'cast_iron', 'glass_uni']",
lss_material,Unavailable,steel_drive,
hss_material,Unavailable,steel_drive,
hub_material,Unavailable,cast_iron,
spinner_material,Unavailable,glass_uni,
bedplate_material,Unavailable,steel,
blades_I,kg*m**2,[36494351. 17549243. 14423664.        0.        0.        0.],
rated_rpm,rpm,[12.1],
stop_time,s,[5.],
flange_t2shell_t,,[4.],
flange_OD2hub_D,,[0.5],
flange_ID2flange_OD,,[0.8],
hub_shell.rho,kg/m**3,[7200.],
max_torque,N*m,[9248464.3899296],
hub_shell.Xy,Pa,[2.65e+08],
hub_stress_concentration,,[2.5],
hub_shell.metal_cost,USD/kg,[0.5],
hub_diameter,m,[3.],
blade_root_diameter,m,[3.542],
hub_in2out_circ,,[1.2],
hub_shell.n_blades,Unavailable,3,
clearance_hub_spinner,m,[1.],
spin_hole_incr,,[1.2],
spinner_gust_ws,m/s,[70.],
spinner.composite_Xt,Pa,[15290000.],
spinner.composite_rho,kg/m**3,[1940.],
spinner.Xy,Pa,[3.45e+08],
spinner.metal_rho,kg/m**3,[7800.],
spinner.composite_cost,USD/kg,[1.9],
spinner.metal_cost,USD/kg,[0.7],
n_blades,Unavailable,3,
n_front_brackets,Unavailable,3,
n_rear_brackets,Unavailable,3,
blade_mass,kg,[16403.],
pitch_system.rho,kg/m**3,[7800.],
pitch_system.Xy,Pa,[3.45e+08],
pitch_system_scaling_factor,,[0.54],
pitch_system.BRFM,N*m,[14239550.],
pitch_mass,kg,[8036.49298539],
pitch_cost,USD,[0.],
pitch_I,kg*m**2,"[18082.10921713  9041.05460857  9041.05460857     0.
     0.             0.        ]",
